Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
RCB,KKR,KKR,140 runs,Bengaluru,"Apr 18, 2008",T20
Kings XI,Super Kings,Super Kings,33 runs,Mohali,"Apr 19, 2008",T20
Daredevils,Royals,Daredevils,9 wickets,Delhi,"Apr 19, 2008",T20
KKR,Chargers,KKR,5 wickets,Kolkata,"Apr 20, 2008",T20
Mum Indians,RCB,RCB,5 wickets,Mumbai,"Apr 20, 2008",T20
Royals,Kings XI,Royals,6 wickets,Jaipur,"Apr 21, 2008",T20
Chargers,Daredevils,Daredevils,9 wickets,Hyderabad (Deccan),"Apr 22, 2008",T20
Super Kings,Mum Indians,Super Kings,6 runs,Chennai,"Apr 23, 2008",T20
Chargers,Royals,Royals,3 wickets,Hyderabad (Deccan),"Apr 24, 2008",T20
Kings XI,Mum Indians,Kings XI,66 runs,Mohali,"Apr 25, 2008",T20
Super Kings,KKR,Super Kings,9 wickets,Chennai,"Apr 26, 2008",T20
RCB,Royals,Royals,7 wickets,Bengaluru,"Apr 26, 2008",T20
Kings XI,Daredevils,Kings XI,4 wickets,Mohali,"Apr 27, 2008",T20
Mum Indians,Chargers,Chargers,10 wickets,Mumbai,"Apr 27, 2008",T20
RCB,Super Kings,Super Kings,13 runs,Bengaluru,"Apr 28, 2008",T20
KKR,Mum Indians,Mum Indians,7 wickets,Kolkata,"Apr 29, 2008",T20
Daredevils,RCB,Daredevils,10 runs,Delhi,"Apr 30, 2008",T20
Royals,KKR,Royals,45 runs,Jaipur,"May 1, 2008",T20
Chargers,Kings XI,Kings XI,7 wickets,Hyderabad (Deccan),"May 1, 2008",T20
Super Kings,Daredevils,Daredevils,8 wickets,Chennai,"May 2, 2008",T20
RCB,Chargers,RCB,3 runs,Bengaluru,"May 3, 2008",T20
Kings XI,KKR,Kings XI,9 runs,Mohali,"May 3, 2008",T20
Mum Indians,Daredevils,Mum Indians,29 runs,Mumbai,"May 4, 2008",T20
Royals,Super Kings,Royals,8 wickets,Jaipur,"May 4, 2008",T20
RCB,Kings XI,Kings XI,6 wickets,Bengaluru,"May 5, 2008",T20
Super Kings,Chargers,Chargers,7 wickets,Chennai,"May 6, 2008",T20
Mum Indians,Royals,Mum Indians,7 wickets,Mumbai,"May 7, 2008",T20
Daredevils,Super Kings,Super Kings,4 wickets,Delhi,"May 8, 2008",T20
KKR,RCB,KKR,5 runs,Kolkata,"May 8, 2008",T20
Royals,Chargers,Royals,8 wickets,Jaipur,"May 9, 2008",T20
Super Kings,Kings XI,Super Kings,18 runs,Chennai,"May 10, 2008",T20
Chargers,KKR,KKR,23 runs,Hyderabad (Deccan),"May 11, 2008",T20
Royals,Daredevils,Royals,3 wickets,Jaipur,"May 11, 2008",T20
Kings XI,RCB,Kings XI,9 wickets,Mohali,"May 12, 2008",T20
KKR,Daredevils,KKR,23 runs,Kolkata,"May 13, 2008",T20
Mum Indians,Super Kings,Mum Indians,9 wickets,Mumbai,"May 14, 2008",T20
Daredevils,Chargers,Daredevils,12 runs,Delhi,"May 15, 2008",T20
Mum Indians,KKR,Mum Indians,8 wickets,Mumbai,"May 16, 2008",T20
Royals,RCB,Royals,65 runs,Jaipur,"May 17, 2008",T20
Daredevils,Kings XI,Kings XI,6 runs,Delhi,"May 17, 2008",T20
KKR,Super Kings,Super Kings,3 runs,Kolkata,"May 18, 2008",T20
Chargers,Mum Indians,Mum Indians,25 runs,Hyderabad (Deccan),"May 18, 2008",T20
RCB,Daredevils,Daredevils,5 wickets,Bengaluru,"May 19, 2008",T20
KKR,Royals,Royals,6 wickets,Kolkata,"May 20, 2008",T20
Mum Indians,Kings XI,Kings XI,1 run,Mumbai,"May 21, 2008",T20
Super Kings,RCB,RCB,14 runs,Chennai,"May 21, 2008",T20
Daredevils,KKR,abandoned,,Delhi,"May 22, 2008",T20
Kings XI,Chargers,Kings XI,6 wickets,Mohali,"May 23, 2008",T20
Super Kings,Royals,Royals,10 runs,Chennai,"May 24, 2008",T20
Daredevils,Mum Indians,Daredevils,5 wickets,Delhi,"May 24, 2008",T20
Chargers,RCB,RCB,5 wickets,Hyderabad (Deccan),"May 25, 2008",T20
KKR,Kings XI,KKR,3 wickets,Kolkata,"May 25, 2008",T20
Royals,Mum Indians,Royals,5 wickets,Jaipur,"May 26, 2008",T20
Chargers,Super Kings,Super Kings,7 wickets,Hyderabad (Deccan),"May 27, 2008",T20
RCB,Mum Indians,Mum Indians,9 wickets,Bengaluru,"May 28, 2008",T20
Kings XI,Royals,Kings XI,41 runs,Mohali,"May 28, 2008",T20
Daredevils,Royals,Royals,105 runs,Mumbai,"May 30, 2008",T20
Super Kings,Kings XI,Super Kings,9 wickets,Mumbai,"May 31, 2008",T20
Super Kings,Royals,Royals,3 wickets,Mumbai,"Jun 1, 2008",T20
