Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
KKR,Mum Indians,KKR,7 wickets,Kolkata,"Apr 8, 2015",T20
Super Kings,Daredevils,Super Kings,1 run,Chennai,"Apr 9, 2015",T20
Kings XI,Royals,Royals,26 runs,Pune,"Apr 10, 2015",T20
Super Kings,Sunrisers,Super Kings,45 runs,Chennai,"Apr 11, 2015",T20
KKR,RCB,RCB,3 wickets,Kolkata,"Apr 11, 2015",T20
Daredevils,Royals,Royals,3 wickets,Delhi,"Apr 12, 2015",T20
Mum Indians,Kings XI,Kings XI,18 runs,Mumbai,"Apr 12, 2015",T20
RCB,Sunrisers,Sunrisers,8 wickets,Bengaluru,"Apr 13, 2015",T20
Royals,Mum Indians,Royals,7 wickets,Ahmedabad,"Apr 14, 2015",T20
Kings XI,Daredevils,Daredevils,5 wickets,Pune,"Apr 15, 2015",T20
Sunrisers,Royals,Royals,6 wickets,Visakhapatnam,"Apr 16, 2015",T20
Mum Indians,Super Kings,Super Kings,6 wickets,Mumbai,"Apr 17, 2015",T20
Sunrisers,Daredevils,Daredevils,4 runs,Visakhapatnam,"Apr 18, 2015",T20
Kings XI,KKR,KKR,4 wickets,Pune,"Apr 18, 2015",T20
Royals,Super Kings,Royals,8 wickets,Ahmedabad,"Apr 19, 2015",T20
RCB,Mum Indians,Mum Indians,18 runs,Bengaluru,"Apr 19, 2015",T20
Daredevils,KKR,KKR,6 wickets,Delhi,"Apr 20, 2015",T20
Royals,Kings XI,tied,,Ahmedabad,"Apr 21, 2015",T20
Sunrisers,KKR,Sunrisers,16 runs,Visakhapatnam,"Apr 22, 2015",T20
RCB,Super Kings,Super Kings,27 runs,Bengaluru,"Apr 22, 2015",T20
Daredevils,Mum Indians,Daredevils,37 runs,Delhi,"Apr 23, 2015",T20
Royals,RCB,RCB,9 wickets,Ahmedabad,"Apr 24, 2015",T20
Mum Indians,Sunrisers,Mum Indians,20 runs,Mumbai,"Apr 25, 2015",T20
Super Kings,Kings XI,Super Kings,97 runs,Chennai,"Apr 25, 2015",T20
KKR,Royals,abandoned,,Kolkata,"Apr 26, 2015",T20
Daredevils,RCB,RCB,10 wickets,Delhi,"Apr 26, 2015",T20
Kings XI,Sunrisers,Sunrisers,20 runs,Mohali,"Apr 27, 2015",T20
Super Kings,KKR,Super Kings,2 runs,Chennai,"Apr 28, 2015",T20
RCB,Royals,no result,,Bengaluru,"Apr 29, 2015",T20
KKR,Super Kings,KKR,7 wickets,Kolkata,"Apr 30, 2015",T20
Daredevils,Kings XI,Daredevils,9 wickets,Delhi,"May 1, 2015",T20
Mum Indians,Royals,Mum Indians,8 runs,Mumbai,"May 1, 2015",T20
RCB,KKR,RCB,7 wickets,Bengaluru,"May 2, 2015",T20
Sunrisers,Super Kings,Sunrisers,22 runs,Hyderabad (Deccan),"May 2, 2015",T20
Kings XI,Mum Indians,Mum Indians,23 runs,Mohali,"May 3, 2015",T20
Royals,Daredevils,Royals,14 runs,Mumbai (BS),"May 3, 2015",T20
Super Kings,RCB,Super Kings,24 runs,Chennai,"May 4, 2015",T20
KKR,Sunrisers,KKR,35 runs,Kolkata,"May 4, 2015",T20
Mum Indians,Daredevils,Mum Indians,5 wickets,Mumbai,"May 5, 2015",T20
RCB,Kings XI,RCB,138 runs,Bengaluru,"May 6, 2015",T20
Royals,Sunrisers,Sunrisers,7 runs,Mumbai (BS),"May 7, 2015",T20
KKR,Daredevils,KKR,13 runs,Kolkata,"May 7, 2015",T20
Super Kings,Mum Indians,Mum Indians,6 wickets,Chennai,"May 8, 2015",T20
KKR,Kings XI,KKR,1 wicket,Kolkata,"May 9, 2015",T20
Daredevils,Sunrisers,Sunrisers,6 runs,Raipur,"May 9, 2015",T20
Mum Indians,RCB,RCB,39 runs,Mumbai,"May 10, 2015",T20
Super Kings,Royals,Super Kings,12 runs,Chennai,"May 10, 2015",T20
Sunrisers,Kings XI,Sunrisers,5 runs,Hyderabad (Deccan),"May 11, 2015",T20
Daredevils,Super Kings,Daredevils,6 wickets,Raipur,"May 12, 2015",T20
Kings XI,RCB,Kings XI,22 runs,Mohali,"May 13, 2015",T20
Mum Indians,KKR,Mum Indians,5 runs,Mumbai,"May 14, 2015",T20
Sunrisers,RCB,RCB,6 wickets,Hyderabad (Deccan),"May 15, 2015",T20
Kings XI,Super Kings,Super Kings,7 wickets,Mohali,"May 16, 2015",T20
Royals,KKR,Royals,9 runs,Mumbai (BS),"May 16, 2015",T20
RCB,Daredevils,no result,,Bengaluru,"May 17, 2015",T20
Sunrisers,Mum Indians,Mum Indians,9 wickets,Hyderabad (Deccan),"May 17, 2015",T20
Super Kings,Mum Indians,Mum Indians,25 runs,Mumbai,"May 19, 2015",T20
RCB,Royals,RCB,71 runs,Pune,"May 20, 2015",T20
Super Kings,RCB,Super Kings,3 wickets,Ranchi,"May 22, 2015",T20
Mum Indians,Super Kings,Mum Indians,41 runs,Kolkata,"May 24, 2015",T20
