Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Sunrisers,RCB,Sunrisers,35 runs,Hyderabad (Deccan),"Apr 5, 2017",T20
Supergiant,Mum Indians,Supergiant,7 wickets,Pune,"Apr 6, 2017",T20
Guj Lions,KKR,KKR,10 wickets,Rajkot,"Apr 7, 2017",T20
Kings XI,Supergiant,Kings XI,6 wickets,Indore,"Apr 8, 2017",T20
RCB,Daredevils,RCB,15 runs,Bengaluru,"Apr 8, 2017",T20
Sunrisers,Guj Lions,Sunrisers,9 wickets,Hyderabad (Deccan),"Apr 9, 2017",T20
Mum Indians,KKR,Mum Indians,4 wickets,Mumbai,"Apr 9, 2017",T20
Kings XI,RCB,Kings XI,8 wickets,Indore,"Apr 10, 2017",T20
Supergiant,Daredevils,Daredevils,97 runs,Pune,"Apr 11, 2017",T20
Mum Indians,Sunrisers,Mum Indians,4 wickets,Mumbai,"Apr 12, 2017",T20
KKR,Kings XI,KKR,8 wickets,Kolkata,"Apr 13, 2017",T20
RCB,Mum Indians,Mum Indians,4 wickets,Bengaluru,"Apr 14, 2017",T20
Guj Lions,Supergiant,Guj Lions,7 wickets,Rajkot,"Apr 14, 2017",T20
KKR,Sunrisers,KKR,17 runs,Kolkata,"Apr 15, 2017",T20
Daredevils,Kings XI,Daredevils,51 runs,Delhi,"Apr 15, 2017",T20
Mum Indians,Guj Lions,Mum Indians,6 wickets,Mumbai,"Apr 16, 2017",T20
RCB,Supergiant,Supergiant,27 runs,Bengaluru,"Apr 16, 2017",T20
Daredevils,KKR,KKR,4 wickets,Delhi,"Apr 17, 2017",T20
Sunrisers,Kings XI,Sunrisers,5 runs,Hyderabad (Deccan),"Apr 17, 2017",T20
Guj Lions,RCB,RCB,21 runs,Rajkot,"Apr 18, 2017",T20
Sunrisers,Daredevils,Sunrisers,15 runs,Hyderabad (Deccan),"Apr 19, 2017",T20
Kings XI,Mum Indians,Mum Indians,8 wickets,Indore,"Apr 20, 2017",T20
KKR,Guj Lions,Guj Lions,4 wickets,Kolkata,"Apr 21, 2017",T20
Supergiant,Sunrisers,Supergiant,6 wickets,Pune,"Apr 22, 2017",T20
Mum Indians,Daredevils,Mum Indians,14 runs,Mumbai,"Apr 22, 2017",T20
Guj Lions,Kings XI,Kings XI,26 runs,Rajkot,"Apr 23, 2017",T20
KKR,RCB,KKR,82 runs,Kolkata,"Apr 23, 2017",T20
Mum Indians,Supergiant,Supergiant,3 runs,Mumbai,"Apr 24, 2017",T20
RCB,Sunrisers,abandoned,,Bengaluru,"Apr 25, 2017",T20
Supergiant,KKR,KKR,7 wickets,Pune,"Apr 26, 2017",T20
RCB,Guj Lions,Guj Lions,7 wickets,Bengaluru,"Apr 27, 2017",T20
KKR,Daredevils,KKR,7 wickets,Kolkata,"Apr 28, 2017",T20
Kings XI,Sunrisers,Sunrisers,26 runs,Mohali,"Apr 28, 2017",T20
Supergiant,RCB,Supergiant,61 runs,Pune,"Apr 29, 2017",T20
Guj Lions,Mum Indians,tied,,Rajkot,"Apr 29, 2017",T20
Kings XI,Daredevils,Kings XI,10 wickets,Mohali,"Apr 30, 2017",T20
Sunrisers,KKR,Sunrisers,48 runs,Hyderabad (Deccan),"Apr 30, 2017",T20
Mum Indians,RCB,Mum Indians,5 wickets,Mumbai,"May 1, 2017",T20
Supergiant,Guj Lions,Supergiant,5 wickets,Pune,"May 1, 2017",T20
Daredevils,Sunrisers,Daredevils,6 wickets,Delhi,"May 2, 2017",T20
KKR,Supergiant,Supergiant,4 wickets,Kolkata,"May 3, 2017",T20
Daredevils,Guj Lions,Daredevils,7 wickets,Delhi,"May 4, 2017",T20
RCB,Kings XI,Kings XI,19 runs,Bengaluru,"May 5, 2017",T20
Sunrisers,Supergiant,Supergiant,12 runs,Hyderabad (Deccan),"May 6, 2017",T20
Daredevils,Mum Indians,Mum Indians,146 runs,Delhi,"May 6, 2017",T20
RCB,KKR,KKR,6 wickets,Bengaluru,"May 7, 2017",T20
Kings XI,Guj Lions,Guj Lions,6 wickets,Mohali,"May 7, 2017",T20
Sunrisers,Mum Indians,Sunrisers,7 wickets,Hyderabad (Deccan),"May 8, 2017",T20
Kings XI,KKR,Kings XI,14 runs,Mohali,"May 9, 2017",T20
Guj Lions,Daredevils,Daredevils,2 wickets,Kanpur,"May 10, 2017",T20
Mum Indians,Kings XI,Kings XI,7 runs,Mumbai,"May 11, 2017",T20
Daredevils,Supergiant,Daredevils,7 runs,Delhi,"May 12, 2017",T20
Guj Lions,Sunrisers,Sunrisers,8 wickets,Kanpur,"May 13, 2017",T20
KKR,Mum Indians,Mum Indians,9 runs,Kolkata,"May 13, 2017",T20
Supergiant,Kings XI,Supergiant,9 wickets,Pune,"May 14, 2017",T20
Daredevils,RCB,RCB,10 runs,Delhi,"May 14, 2017",T20
Mum Indians,Supergiant,Supergiant,20 runs,Mumbai,"May 16, 2017",T20
Sunrisers,KKR,KKR,7 wickets,Bengaluru,"May 17, 2017",T20
Mum Indians,KKR,Mum Indians,6 wickets,Bengaluru,"May 19, 2017",T20
Mum Indians,Supergiant,Mum Indians,1 run,Hyderabad (Deccan),"May 21, 2017",T20
