Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Super Kings,Mum Indians,Mum Indians,8 wickets,Chennai,"Apr 4, 2012",T20
KKR,Daredevils,Daredevils,8 wickets,Kolkata,"Apr 5, 2012",T20
Mum Indians,Warriors,Warriors,28 runs,Mumbai,"Apr 6, 2012",T20
Royals,Kings XI,Royals,31 runs,Jaipur,"Apr 6, 2012",T20
RCB,Daredevils,RCB,20 runs,Bengaluru,"Apr 7, 2012",T20
Chargers,Super Kings,Super Kings,74 runs,Visakhapatnam,"Apr 7, 2012",T20
Royals,KKR,Royals,22 runs,Jaipur,"Apr 8, 2012",T20
Warriors,Kings XI,Warriors,22 runs,Pune,"Apr 8, 2012",T20
Chargers,Mum Indians,Mum Indians,5 wickets,Visakhapatnam,"Apr 9, 2012",T20
RCB,KKR,KKR,42 runs,Bengaluru,"Apr 10, 2012",T20
Daredevils,Super Kings,Daredevils,8 wickets,Delhi,"Apr 10, 2012",T20
Mum Indians,Royals,Mum Indians,27 runs,Mumbai,"Apr 11, 2012",T20
Super Kings,RCB,Super Kings,5 wickets,Chennai,"Apr 12, 2012",T20
Kings XI,Warriors,Kings XI,7 wickets,Mohali,"Apr 12, 2012",T20
KKR,Royals,KKR,5 wickets,Kolkata,"Apr 13, 2012",T20
Warriors,Super Kings,Warriors,7 wickets,Pune,"Apr 14, 2012",T20
KKR,Kings XI,Kings XI,2 runs,Kolkata,"Apr 15, 2012",T20
RCB,Royals,Royals,59 runs,Bengaluru,"Apr 15, 2012",T20
Mum Indians,Daredevils,Daredevils,7 wickets,Mumbai,"Apr 16, 2012",T20
Royals,Chargers,Royals,5 wickets,Jaipur,"Apr 17, 2012",T20
RCB,Warriors,RCB,6 wickets,Bengaluru,"Apr 17, 2012",T20
Kings XI,KKR,KKR,8 wickets,Mohali,"Apr 18, 2012",T20
Daredevils,Chargers,Daredevils,5 wickets,Delhi,"Apr 19, 2012",T20
Super Kings,Warriors,Super Kings,13 runs,Chennai,"Apr 19, 2012",T20
Kings XI,RCB,RCB,5 wickets,Mohali,"Apr 20, 2012",T20
Super Kings,Royals,Super Kings,7 wickets,Chennai,"Apr 21, 2012",T20
Daredevils,Warriors,Warriors,20 runs,Delhi,"Apr 21, 2012",T20
Mum Indians,Kings XI,Kings XI,6 wickets,Mumbai,"Apr 22, 2012",T20
Chargers,KKR,KKR,5 wickets,Cuttack,"Apr 22, 2012",T20
Royals,RCB,RCB,46 runs,Jaipur,"Apr 23, 2012",T20
Warriors,Daredevils,Daredevils,8 wickets,Pune,"Apr 24, 2012",T20
KKR,Chargers,abandoned,,Kolkata,"Apr 24, 2012",T20
Kings XI,Mum Indians,Mum Indians,4 wickets,Mohali,"Apr 25, 2012",T20
RCB,Super Kings,no result,,Bengaluru,"Apr 25, 2012",T20
Warriors,Chargers,Chargers,18 runs,Pune,"Apr 26, 2012",T20
Daredevils,Mum Indians,Daredevils,37 runs,Delhi,"Apr 27, 2012",T20
Super Kings,Kings XI,Kings XI,7 runs,Chennai,"Apr 28, 2012",T20
KKR,RCB,KKR,47 runs,Kolkata,"Apr 28, 2012",T20
Daredevils,Royals,Daredevils,1 run,Delhi,"Apr 29, 2012",T20
Mum Indians,Chargers,Mum Indians,5 wickets,Mumbai,"Apr 29, 2012",T20
Super Kings,KKR,KKR,5 wickets,Chennai,"Apr 30, 2012",T20
Chargers,Warriors,Chargers,13 runs,Cuttack,"May 1, 2012",T20
Royals,Daredevils,Daredevils,6 wickets,Jaipur,"May 1, 2012",T20
RCB,Kings XI,Kings XI,4 wickets,Bengaluru,"May 2, 2012",T20
Warriors,Mum Indians,Mum Indians,1 run,Pune,"May 3, 2012",T20
Super Kings,Chargers,Super Kings,10 runs,Chennai,"May 4, 2012",T20
KKR,Warriors,KKR,7 runs,Kolkata,"May 5, 2012",T20
Kings XI,Royals,Royals,43 runs,Mohali,"May 5, 2012",T20
Mum Indians,Super Kings,Mum Indians,2 wickets,Mumbai,"May 6, 2012",T20
RCB,Chargers,RCB,5 wickets,Bengaluru,"May 6, 2012",T20
Daredevils,KKR,KKR,6 wickets,Delhi,"May 7, 2012",T20
