Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Mum Indians,Super Kings,Super Kings,1 wicket,Mumbai,"Apr 7, 2018",T20
Kings XI,Daredevils,Kings XI,6 wickets,Mohali,"Apr 8, 2018",T20
KKR,RCB,KKR,4 wickets,Kolkata,"Apr 8, 2018",T20
Sunrisers,Royals,Sunrisers,9 wickets,Hyderabad (Deccan),"Apr 9, 2018",T20
Super Kings,KKR,Super Kings,5 wickets,Chennai,"Apr 10, 2018",T20
Royals,Daredevils,Royals,10 runs,Jaipur,"Apr 11, 2018",T20
Sunrisers,Mum Indians,Sunrisers,1 wicket,Hyderabad (Deccan),"Apr 12, 2018",T20
RCB,Kings XI,RCB,4 wickets,Bengaluru,"Apr 13, 2018",T20
Mum Indians,Daredevils,Daredevils,7 wickets,Mumbai,"Apr 14, 2018",T20
KKR,Sunrisers,Sunrisers,5 wickets,Kolkata,"Apr 14, 2018",T20
RCB,Royals,Royals,19 runs,Bengaluru,"Apr 15, 2018",T20
Kings XI,Super Kings,Kings XI,4 runs,Mohali,"Apr 15, 2018",T20
KKR,Daredevils,KKR,71 runs,Kolkata,"Apr 16, 2018",T20
Mum Indians,RCB,Mum Indians,46 runs,Mumbai,"Apr 17, 2018",T20
Royals,KKR,KKR,7 wickets,Jaipur,"Apr 18, 2018",T20
Kings XI,Sunrisers,Kings XI,15 runs,Mohali,"Apr 19, 2018",T20
Super Kings,Royals,Super Kings,64 runs,Pune,"Apr 20, 2018",T20
KKR,Kings XI,Kings XI,9 wickets,Kolkata,"Apr 21, 2018",T20
RCB,Daredevils,RCB,6 wickets,Bengaluru,"Apr 21, 2018",T20
Sunrisers,Super Kings,Super Kings,4 runs,Hyderabad (Deccan),"Apr 22, 2018",T20
Royals,Mum Indians,Royals,3 wickets,Jaipur,"Apr 22, 2018",T20
Daredevils,Kings XI,Kings XI,4 runs,Delhi,"Apr 23, 2018",T20
Mum Indians,Sunrisers,Sunrisers,31 runs,Mumbai,"Apr 24, 2018",T20
RCB,Super Kings,Super Kings,5 wickets,Bengaluru,"Apr 25, 2018",T20
Sunrisers,Kings XI,Sunrisers,13 runs,Hyderabad (Deccan),"Apr 26, 2018",T20
Daredevils,KKR,Daredevils,55 runs,Delhi,"Apr 27, 2018",T20
Super Kings,Mum Indians,Mum Indians,8 wickets,Pune,"Apr 28, 2018",T20
Royals,Sunrisers,Sunrisers,11 runs,Jaipur,"Apr 29, 2018",T20
RCB,KKR,KKR,6 wickets,Bengaluru,"Apr 29, 2018",T20
Super Kings,Daredevils,Super Kings,13 runs,Pune,"Apr 30, 2018",T20
RCB,Mum Indians,RCB,14 runs,Bengaluru,"May 1, 2018",T20
Daredevils,Royals,Daredevils,4 runs,Delhi,"May 2, 2018",T20
KKR,Super Kings,KKR,6 wickets,Kolkata,"May 3, 2018",T20
Kings XI,Mum Indians,Mum Indians,6 wickets,Indore,"May 4, 2018",T20
Super Kings,RCB,Super Kings,6 wickets,Pune,"May 5, 2018",T20
Sunrisers,Daredevils,Sunrisers,7 wickets,Hyderabad (Deccan),"May 5, 2018",T20
Mum Indians,KKR,Mum Indians,13 runs,Mumbai,"May 6, 2018",T20
Kings XI,Royals,Kings XI,6 wickets,Indore,"May 6, 2018",T20
Sunrisers,RCB,Sunrisers,5 runs,Hyderabad (Deccan),"May 7, 2018",T20
Royals,Kings XI,Royals,15 runs,Jaipur,"May 8, 2018",T20
KKR,Mum Indians,Mum Indians,102 runs,Kolkata,"May 9, 2018",T20
Daredevils,Sunrisers,Sunrisers,9 wickets,Delhi,"May 10, 2018",T20
Royals,Super Kings,Royals,4 wickets,Jaipur,"May 11, 2018",T20
Kings XI,KKR,KKR,31 runs,Indore,"May 12, 2018",T20
Daredevils,RCB,RCB,5 wickets,Delhi,"May 12, 2018",T20
Super Kings,Sunrisers,Super Kings,8 wickets,Pune,"May 13, 2018",T20
Mum Indians,Royals,Royals,7 wickets,Mumbai,"May 13, 2018",T20
Kings XI,RCB,RCB,10 wickets,Indore,"May 14, 2018",T20
KKR,Royals,KKR,6 wickets,Kolkata,"May 15, 2018",T20
Mum Indians,Kings XI,Mum Indians,3 runs,Mumbai,"May 16, 2018",T20
RCB,Sunrisers,RCB,14 runs,Bengaluru,"May 17, 2018",T20
Daredevils,Super Kings,Daredevils,34 runs,Delhi,"May 18, 2018",T20
Royals,RCB,Royals,30 runs,Jaipur,"May 19, 2018",T20
Sunrisers,KKR,KKR,5 wickets,Hyderabad (Deccan),"May 19, 2018",T20
Daredevils,Mum Indians,Daredevils,11 runs,Delhi,"May 20, 2018",T20
Super Kings,Kings XI,Super Kings,5 wickets,Pune,"May 20, 2018",T20
Sunrisers,Super Kings,Super Kings,2 wickets,Mumbai,"May 22, 2018",T20
KKR,Royals,KKR,25 runs,Kolkata,"May 23, 2018",T20
KKR,Sunrisers,Sunrisers,14 runs,Kolkata,"May 25, 2018",T20
Super Kings,Sunrisers,Super Kings,8 wickets,Mumbai,"May 27, 2018",T20
