Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
KKR,Daredevils,KKR,6 wickets,Kolkata,"Apr 3, 2013",T20
RCB,Mum Indians,RCB,2 runs,Bengaluru,"Apr 4, 2013",T20
Sunrisers,Warriors,Sunrisers,22 runs,Hyderabad (Deccan),"Apr 5, 2013",T20
Daredevils,Royals,Royals,5 runs,Delhi,"Apr 6, 2013",T20
Super Kings,Mum Indians,Mum Indians,9 runs,Chennai,"Apr 6, 2013",T20
Warriors,Kings XI,Kings XI,8 wickets,Pune,"Apr 7, 2013",T20
Sunrisers,RCB,tied,,Hyderabad (Deccan),"Apr 7, 2013",T20
Royals,KKR,Royals,19 runs,Jaipur,"Apr 8, 2013",T20
RCB,Sunrisers,RCB,7 wickets,Bengaluru,"Apr 9, 2013",T20
Mum Indians,Daredevils,Mum Indians,44 runs,Mumbai,"Apr 9, 2013",T20
Kings XI,Super Kings,Super Kings,10 wickets,Mohali,"Apr 10, 2013",T20
RCB,KKR,RCB,8 wickets,Bengaluru,"Apr 11, 2013",T20
Warriors,Royals,Warriors,7 wickets,Pune,"Apr 11, 2013",T20
Daredevils,Sunrisers,Sunrisers,3 wickets,Delhi,"Apr 12, 2013",T20
Mum Indians,Warriors,Mum Indians,41 runs,Mumbai,"Apr 13, 2013",T20
Super Kings,RCB,Super Kings,4 wickets,Chennai,"Apr 13, 2013",T20
KKR,Sunrisers,KKR,48 runs,Kolkata,"Apr 14, 2013",T20
Royals,Kings XI,Royals,6 wickets,Jaipur,"Apr 14, 2013",T20
Super Kings,Warriors,Warriors,24 runs,Chennai,"Apr 15, 2013",T20
Kings XI,KKR,Kings XI,4 runs,Mohali,"Apr 16, 2013",T20
RCB,Daredevils,tied,,Bengaluru,"Apr 16, 2013",T20
Warriors,Sunrisers,Sunrisers,11 runs,Pune,"Apr 17, 2013",T20
Royals,Mum Indians,Royals,87 runs,Jaipur,"Apr 17, 2013",T20
Daredevils,Super Kings,Super Kings,86 runs,Delhi,"Apr 18, 2013",T20
Sunrisers,Kings XI,Sunrisers,5 wickets,Hyderabad (Deccan),"Apr 19, 2013",T20
KKR,Super Kings,Super Kings,4 wickets,Kolkata,"Apr 20, 2013",T20
RCB,Royals,RCB,7 wickets,Bengaluru,"Apr 20, 2013",T20
Daredevils,Mum Indians,Daredevils,9 wickets,Delhi,"Apr 21, 2013",T20
Kings XI,Warriors,Kings XI,7 wickets,Mohali,"Apr 21, 2013",T20
Super Kings,Royals,Super Kings,5 wickets,Chennai,"Apr 22, 2013",T20
RCB,Warriors,RCB,130 runs,Bengaluru,"Apr 23, 2013",T20
Daredevils,Kings XI,Kings XI,5 wickets,Delhi,"Apr 23, 2013",T20
KKR,Mum Indians,Mum Indians,5 wickets,Kolkata,"Apr 24, 2013",T20
Super Kings,Sunrisers,Super Kings,5 wickets,Chennai,"Apr 25, 2013",T20
KKR,Kings XI,KKR,6 wickets,Kolkata,"Apr 26, 2013",T20
Royals,Sunrisers,Royals,8 wickets,Jaipur,"Apr 27, 2013",T20
Mum Indians,RCB,Mum Indians,58 runs,Mumbai,"Apr 27, 2013",T20
Super Kings,KKR,Super Kings,14 runs,Chennai,"Apr 28, 2013",T20
Daredevils,Warriors,Daredevils,15 runs,Raipur,"Apr 28, 2013",T20
Royals,RCB,Royals,4 wickets,Jaipur,"Apr 29, 2013",T20
Mum Indians,Kings XI,Mum Indians,4 runs,Mumbai,"Apr 29, 2013",T20
Warriors,Super Kings,Super Kings,37 runs,Pune,"Apr 30, 2013",T20
Sunrisers,Mum Indians,Sunrisers,7 wickets,Hyderabad (Deccan),"May 1, 2013",T20
Daredevils,KKR,Daredevils,7 wickets,Raipur,"May 1, 2013",T20
Super Kings,Kings XI,Super Kings,15 runs,Chennai,"May 2, 2013",T20
Warriors,RCB,RCB,17 runs,Pune,"May 2, 2013",T20
KKR,Royals,KKR,8 wickets,Kolkata,"May 3, 2013",T20
Sunrisers,Daredevils,Sunrisers,6 wickets,Hyderabad (Deccan),"May 4, 2013",T20
Mum Indians,Super Kings,Mum Indians,60 runs,Mumbai,"May 5, 2013",T20
Royals,Warriors,Royals,5 wickets,Jaipur,"May 5, 2013",T20
Kings XI,RCB,Kings XI,6 wickets,Mohali,"May 6, 2013",T20
Royals,Daredevils,Royals,9 wickets,Jaipur,"May 7, 2013",T20
Mum Indians,KKR,Mum Indians,65 runs,Mumbai,"May 7, 2013",T20
Sunrisers,Super Kings,Super Kings,77 runs,Hyderabad (Deccan),"May 8, 2013",T20
Kings XI,Royals,Royals,8 wickets,Mohali,"May 9, 2013",T20
Warriors,KKR,KKR,46 runs,Pune,"May 9, 2013",T20
Daredevils,RCB,RCB,4 runs,Delhi,"May 10, 2013",T20
Warriors,Mum Indians,Mum Indians,5 wickets,Pune,"May 11, 2013",T20
Kings XI,Sunrisers,Sunrisers,30 runs,Mohali,"May 11, 2013",T20
KKR,RCB,KKR,5 wickets,Ranchi,"May 12, 2013",T20
Royals,Super Kings,Royals,5 wickets,Jaipur,"May 12, 2013",T20
Mum Indians,Sunrisers,Mum Indians,7 wickets,Mumbai,"May 13, 2013",T20
RCB,Kings XI,Kings XI,7 wickets,Bengaluru,"May 14, 2013",T20
Super Kings,Daredevils,Super Kings,33 runs,Chennai,"May 14, 2013",T20
KKR,Warriors,Warriors,7 runs,Ranchi,"May 15, 2013",T20
Mum Indians,Royals,Mum Indians,14 runs,Mumbai,"May 15, 2013",T20
Kings XI,Daredevils,Kings XI,7 runs,Dharamsala,"May 16, 2013",T20
