Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Mum Indians,Supergiants,Supergiants,9 wickets,Mumbai,"Apr 9, 2016",T20
KKR,Daredevils,KKR,9 wickets,Kolkata,"Apr 10, 2016",T20
Kings XI,Guj Lions,Guj Lions,5 wickets,Mohali,"Apr 11, 2016",T20
RCB,Sunrisers,RCB,45 runs,Bengaluru,"Apr 12, 2016",T20
KKR,Mum Indians,Mum Indians,6 wickets,Kolkata,"Apr 13, 2016",T20
Guj Lions,Supergiants,Guj Lions,7 wickets,Rajkot,"Apr 14, 2016",T20
Daredevils,Kings XI,Daredevils,8 wickets,Delhi,"Apr 15, 2016",T20
Sunrisers,KKR,KKR,8 wickets,Hyderabad (Deccan),"Apr 16, 2016",T20
Mum Indians,Guj Lions,Guj Lions,3 wickets,Mumbai,"Apr 16, 2016",T20
Kings XI,Supergiants,Kings XI,6 wickets,Mohali,"Apr 17, 2016",T20
RCB,Daredevils,Daredevils,7 wickets,Bengaluru,"Apr 17, 2016",T20
Sunrisers,Mum Indians,Sunrisers,7 wickets,Hyderabad (Deccan),"Apr 18, 2016",T20
Kings XI,KKR,KKR,6 wickets,Mohali,"Apr 19, 2016",T20
Mum Indians,RCB,Mum Indians,6 wickets,Mumbai,"Apr 20, 2016",T20
Guj Lions,Sunrisers,Sunrisers,10 wickets,Rajkot,"Apr 21, 2016",T20
Supergiants,RCB,RCB,13 runs,Pune,"Apr 22, 2016",T20
Daredevils,Mum Indians,Daredevils,10 runs,Delhi,"Apr 23, 2016",T20
Sunrisers,Kings XI,Sunrisers,5 wickets,Hyderabad (Deccan),"Apr 23, 2016",T20
Guj Lions,RCB,Guj Lions,6 wickets,Rajkot,"Apr 24, 2016",T20
Supergiants,KKR,KKR,2 wickets,Pune,"Apr 24, 2016",T20
Kings XI,Mum Indians,Mum Indians,25 runs,Mohali,"Apr 25, 2016",T20
Sunrisers,Supergiants,Supergiants,34 runs,Hyderabad (Deccan),"Apr 26, 2016",T20
Daredevils,Guj Lions,Guj Lions,1 run,Delhi,"Apr 27, 2016",T20
Mum Indians,KKR,Mum Indians,6 wickets,Mumbai,"Apr 28, 2016",T20
Supergiants,Guj Lions,Guj Lions,3 wickets,Pune,"Apr 29, 2016",T20
Daredevils,KKR,Daredevils,27 runs,Delhi,"Apr 30, 2016",T20
Sunrisers,RCB,Sunrisers,15 runs,Hyderabad (Deccan),"Apr 30, 2016",T20
Guj Lions,Kings XI,Kings XI,23 runs,Rajkot,"May 1, 2016",T20
Supergiants,Mum Indians,Mum Indians,8 wickets,Pune,"May 1, 2016",T20
RCB,KKR,KKR,5 wickets,Bengaluru,"May 2, 2016",T20
Guj Lions,Daredevils,Daredevils,8 wickets,Rajkot,"May 3, 2016",T20
KKR,Kings XI,KKR,7 runs,Kolkata,"May 4, 2016",T20
Daredevils,Supergiants,Supergiants,7 wickets,Delhi,"May 5, 2016",T20
Sunrisers,Guj Lions,Sunrisers,5 wickets,Hyderabad (Deccan),"May 6, 2016",T20
RCB,Supergiants,RCB,7 wickets,Bengaluru,"May 7, 2016",T20
Kings XI,Daredevils,Kings XI,9 runs,Mohali,"May 7, 2016",T20
Mum Indians,Sunrisers,Sunrisers,85 runs,Visakhapatnam,"May 8, 2016",T20
KKR,Guj Lions,Guj Lions,5 wickets,Kolkata,"May 8, 2016",T20
Kings XI,RCB,RCB,1 run,Mohali,"May 9, 2016",T20
Supergiants,Sunrisers,Sunrisers,4 runs,Visakhapatnam,"May 10, 2016",T20
RCB,Mum Indians,Mum Indians,6 wickets,Bengaluru,"May 11, 2016",T20
Sunrisers,Daredevils,Daredevils,7 wickets,Hyderabad (Deccan),"May 12, 2016",T20
Mum Indians,Kings XI,Kings XI,7 wickets,Visakhapatnam,"May 13, 2016",T20
RCB,Guj Lions,RCB,144 runs,Bengaluru,"May 14, 2016",T20
KKR,Supergiants,KKR,8 wickets,Kolkata,"May 14, 2016",T20
Kings XI,Sunrisers,Sunrisers,7 wickets,Mohali,"May 15, 2016",T20
Mum Indians,Daredevils,Mum Indians,80 runs,Visakhapatnam,"May 15, 2016",T20
KKR,RCB,RCB,9 wickets,Kolkata,"May 16, 2016",T20
Supergiants,Daredevils,Supergiants,19 runs,Visakhapatnam,"May 17, 2016",T20
RCB,Kings XI,RCB,82 runs,Bengaluru,"May 18, 2016",T20
Guj Lions,KKR,Guj Lions,6 wickets,Kanpur,"May 19, 2016",T20
Daredevils,Sunrisers,Daredevils,6 wickets,Raipur,"May 20, 2016",T20
Supergiants,Kings XI,Supergiants,4 wickets,Visakhapatnam,"May 21, 2016",T20
Guj Lions,Mum Indians,Guj Lions,6 wickets,Kanpur,"May 21, 2016",T20
KKR,Sunrisers,KKR,22 runs,Kolkata,"May 22, 2016",T20
Daredevils,RCB,RCB,6 wickets,Raipur,"May 22, 2016",T20
Guj Lions,RCB,RCB,4 wickets,Bengaluru,"May 24, 2016",T20
Sunrisers,KKR,Sunrisers,22 runs,Delhi,"May 25, 2016",T20
Guj Lions,Sunrisers,Sunrisers,4 wickets,Delhi,"May 27, 2016",T20
RCB,Sunrisers,Sunrisers,8 runs,Bengaluru,"May 29, 2016",T20
