Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Chargers,KKR,KKR,11 runs,Mumbai,"Mar 12, 2010",T20
Mum Indians,Royals,Mum Indians,4 runs,Mumbai (BS),"Mar 13, 2010",T20
Kings XI,Daredevils,Daredevils,5 wickets,Mohali,"Mar 13, 2010",T20
KKR,RCB,KKR,7 wickets,Kolkata,"Mar 14, 2010",T20
Super Kings,Chargers,Chargers,31 runs,Chennai,"Mar 14, 2010",T20
Royals,Daredevils,Daredevils,6 wickets,Ahmedabad,"Mar 15, 2010",T20
RCB,Kings XI,RCB,8 wickets,Bengaluru,"Mar 16, 2010",T20
KKR,Super Kings,Super Kings,55 runs,Kolkata,"Mar 16, 2010",T20
Daredevils,Mum Indians,Mum Indians,98 runs,Delhi,"Mar 17, 2010",T20
RCB,Royals,RCB,10 wickets,Bengaluru,"Mar 18, 2010",T20
Daredevils,Super Kings,Super Kings,5 wickets,Delhi,"Mar 19, 2010",T20
Chargers,Kings XI,Chargers,6 runs,Cuttack,"Mar 19, 2010",T20
Royals,KKR,Royals,34 runs,Ahmedabad,"Mar 20, 2010",T20
Mum Indians,RCB,RCB,7 wickets,Mumbai (BS),"Mar 20, 2010",T20
Chargers,Daredevils,Chargers,10 runs,Cuttack,"Mar 21, 2010",T20
Super Kings,Kings XI,tied,,Chennai,"Mar 21, 2010",T20
Mum Indians,KKR,Mum Indians,7 wickets,Mumbai (BS),"Mar 22, 2010",T20
RCB,Super Kings,RCB,36 runs,Bengaluru,"Mar 23, 2010",T20
Kings XI,Royals,Royals,31 runs,Mohali,"Mar 24, 2010",T20
RCB,Daredevils,Daredevils,17 runs,Bengaluru,"Mar 25, 2010",T20
Mum Indians,Super Kings,Mum Indians,5 wickets,Mumbai (BS),"Mar 25, 2010",T20
Royals,Chargers,Royals,8 wickets,Ahmedabad,"Mar 26, 2010",T20
Kings XI,KKR,KKR,39 runs,Mohali,"Mar 27, 2010",T20
Royals,Super Kings,Royals,17 runs,Ahmedabad,"Mar 28, 2010",T20
Chargers,Mum Indians,Mum Indians,41 runs,Mumbai,"Mar 28, 2010",T20
Daredevils,KKR,Daredevils,40 runs,Delhi,"Mar 29, 2010",T20
Mum Indians,Kings XI,Mum Indians,4 wickets,Mumbai (BS),"Mar 30, 2010",T20
Super Kings,RCB,Super Kings,5 wickets,Chennai,"Mar 31, 2010",T20
Daredevils,Royals,Daredevils,67 runs,Delhi,"Mar 31, 2010",T20
KKR,Chargers,KKR,24 runs,Kolkata,"Apr 1, 2010",T20
Kings XI,RCB,RCB,6 wickets,Mohali,"Apr 2, 2010",T20
Super Kings,Royals,Super Kings,23 runs,Chennai,"Apr 3, 2010",T20
Mum Indians,Chargers,Mum Indians,63 runs,Mumbai (BS),"Apr 3, 2010",T20
KKR,Kings XI,Kings XI,8 wickets,Kolkata,"Apr 4, 2010",T20
Daredevils,RCB,Daredevils,37 runs,Delhi,"Apr 4, 2010",T20
Chargers,Royals,Royals,2 runs,Nagpur,"Apr 5, 2010",T20
Super Kings,Mum Indians,Super Kings,24 runs,Chennai,"Apr 6, 2010",T20
Royals,Kings XI,Royals,9 wickets,Jaipur,"Apr 7, 2010",T20
KKR,Daredevils,KKR,14 runs,Kolkata,"Apr 7, 2010",T20
RCB,Chargers,Chargers,7 wickets,Bengaluru,"Apr 8, 2010",T20
Kings XI,Mum Indians,Kings XI,6 wickets,Mohali,"Apr 9, 2010",T20
Chargers,Super Kings,Chargers,6 wickets,Nagpur,"Apr 10, 2010",T20
RCB,KKR,RCB,7 wickets,Bengaluru,"Apr 10, 2010",T20
Daredevils,Kings XI,Kings XI,7 wickets,Delhi,"Apr 11, 2010",T20
Royals,Mum Indians,Mum Indians,37 runs,Jaipur,"Apr 11, 2010",T20
Chargers,RCB,Chargers,13 runs,Nagpur,"Apr 12, 2010",T20
Mum Indians,Daredevils,Mum Indians,39 runs,Mumbai (BS),"Apr 13, 2010",T20
Super Kings,KKR,Super Kings,9 wickets,Chennai,"Apr 13, 2010",T20
Royals,RCB,RCB,5 wickets,Jaipur,"Apr 14, 2010",T20
Super Kings,Daredevils,Daredevils,6 wickets,Chennai,"Apr 15, 2010",T20
Kings XI,Chargers,Chargers,5 wickets,Dharamsala,"Apr 16, 2010",T20
RCB,Mum Indians,Mum Indians,57 runs,Bengaluru,"Apr 17, 2010",T20
KKR,Royals,KKR,8 wickets,Kolkata,"Apr 17, 2010",T20
Kings XI,Super Kings,Super Kings,6 wickets,Dharamsala,"Apr 18, 2010",T20
Daredevils,Chargers,Chargers,11 runs,Delhi,"Apr 18, 2010",T20
KKR,Mum Indians,KKR,9 wickets,Kolkata,"Apr 19, 2010",T20
RCB,Mum Indians,Mum Indians,35 runs,Mumbai,"Apr 21, 2010",T20
Super Kings,Chargers,Super Kings,38 runs,Mumbai,"Apr 22, 2010",T20
RCB,Chargers,RCB,9 wickets,Mumbai,"Apr 24, 2010",T20
Super Kings,Mum Indians,Super Kings,22 runs,Mumbai,"Apr 25, 2010",T20
